Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
920,0.06,0.06,0.175,0.138,0.027,0.137,0.121,0.051,0.052,0.103,0.071,0.075
921,0.06,0.06,0.175,0.138,0.027,0.137,0.121,0.05,0.052,0.103,0.07,0.075
922,0.06,0.06,0.175,0.138,0.027,0.137,0.121,0.05,0.052,0.102,0.07,0.075
923,0.06,0.06,0.175,0.138,0.027,0.137,0.121,0.049,0.052,0.102,0.07,0.075
924,0.06,0.06,0.174,0.138,0.027,0.137,0.121,0.049,0.052,0.102,0.07,0.074
925,0.06,0.06,0.174,0.138,0.027,0.137,0.121,0.049,0.052,0.102,0.07,0.074
926,0.059,0.059,0.174,0.138,0.027,0.137,0.121,0.048,0.052,0.101,0.07,0.074
927,0.059,0.059,0.174,0.137,0.027,0.136,0.121,0.048,0.051,0.101,0.069,0.074
928,0.059,0.059,0.174,0.137,0.027,0.136,0.121,0.047,0.051,0.101,0.069,0.074
929,0.059,0.059,0.174,0.137,0.027,0.136,0.121,0.047,0.051,0.101,0.069,0.074
930,0.059,0.059,0.174,0.137,0.027,0.136,0.121,0.047,0.051,0.101,0.069,0.074
931,0.059,0.059,0.173,0.137,0.027,0.136,0.121,0.046,0.051,0.1,0.069,0.073
932,0.059,0.059,0.173,0.137,0.027,0.136,0.121,0.046,0.051,0.1,0.069,0.073
933,0.059,0.058,0.173,0.137,0.027,0.136,0.121,0.046,0.051,0.1,0.069,0.073
934,0.058,0.058,0.173,0.137,0.027,0.136,0.121,0.046,0.051,0.1,0.069,0.073
935,0.058,0.058,0.173,0.137,0.027,0.136,0.121,0.045,0.051,0.1,0.068,0.073
936,0.058,0.058,0.173,0.137,0.027,0.135,0.121,0.045,0.051,0.099,0.068,0.073
937,0.058,0.058,0.173,0.137,0.027,0.135,0.121,0.045,0.05,0.099,0.068,0.072
938,0.058,0.058,0.173,0.137,0.027,0.135,0.121,0.045,0.05,0.099,0.068,0.072
939,0.058,0.058,0.173,0.137,0.027,0.135,0.121,0.044,0.05,0.099,0.068,0.072
940,0.058,0.058,0.172,0.137,0.027,0.135,0.121,0.044,0.05,0.099,0.068,0.072
941,0.058,0.057,0.172,0.137,0.026,0.135,0.121,0.044,0.05,0.098,0.068,0.072
942,0.057,0.057,0.172,0.137,0.026,0.135,0.121,0.044,0.05,0.098,0.067,0.072
943,0.057,0.057,0.172,0.136,0.026,0.134,0.121,0.043,0.05,0.098,0.067,0.071
944,0.057,0.057,0.172,0.136,0.026,0.134,0.121,0.043,0.05,0.098,0.067,0.071
945,0.057,0.057,0.172,0.136,0.026,0.134,0.121,0.043,0.05,0.098,0.067,0.071
946,0.057,0.057,0.172,0.136,0.026,0.134,0.121,0.043,0.049,0.097,0.067,0.071
947,0.057,0.057,0.171,0.136,0.026,0.134,0.121,0.043,0.049,0.097,0.067,0.071
948,0.057,0.056,0.171,0.136,0.026,0.134,0.121,0.043,0.049,0.097,0.067,0.071
949,0.057,0.056,0.171,0.136,0.026,0.134,0.121,0.042,0.049,0.097,0.066,0.071
950,0.056,0.056,0.171,0.136,0.026,0.134,0.121,0.042,0.049,0.097,0.066,0.07
951,0.056,0.056,0.171,0.136,0.026,0.134,0.121,0.042,0.049,0.096,0.066,0.07
952,0.056,0.056,0.171,0.136,0.026,0.134,0.121,0.042,0.049,0.096,0.066,0.07
953,0.056,0.056,0.171,0.136,0.026,0.133,0.121,0.042,0.049,0.096,0.066,0.07
954,0.056,0.056,0.171,0.136,0.026,0.133,0.121,0.042,0.049,0.096,0.066,0.07
955,0.056,0.056,0.171,0.136,0.026,0.133,0.121,0.042,0.049,0.096,0.066,0.07
956,0.056,0.055,0.17,0.136,0.026,0.133,0.121,0.042,0.049,0.095,0.065,0.07
957,0.056,0.055,0.17,0.136,0.026,0.133,0.121,0.041,0.048,0.095,0.065,0.069
958,0.055,0.055,0.17,0.136,0.026,0.133,0.121,0.041,0.048,0.095,0.065,0.069
959,0.055,0.055,0.17,0.136,0.026,0.133,0.121,0.041,0.048,0.095,0.065,0.069
960,0.055,0.055,0.17,0.136,0.026,0.133,0.121,0.041,0.048,0.095,0.065,0.069
961,0.055,0.055,0.17,0.135,0.026,0.133,0.121,0.041,0.048,0.095,0.065,0.069
962,0.055,0.054,0.17,0.135,0.026,0.132,0.121,0.041,0.048,0.094,0.065,0.069
963,0.055,0.054,0.17,0.135,0.026,0.132,0.122,0.041,0.048,0.094,0.064,0.069
964,0.055,0.054,0.17,0.135,0.026,0.132,0.121,0.041,0.048,0.094,0.064,0.068
965,0.055,0.054,0.17,0.135,0.025,0.132,0.121,0.04,0.048,0.094,0.064,0.068
966,0.054,0.054,0.169,0.135,0.025,0.132,0.121,0.04,0.048,0.093,0.064,0.068
967,0.054,0.054,0.169,0.135,0.026,0.132,0.121,0.04,0.047,0.093,0.064,0.068
968,0.054,0.054,0.169,0.135,0.025,0.132,0.121,0.04,0.047,0.093,0.064,0.068
969,0.054,0.054,0.169,0.135,0.026,0.132,0.121,0.04,0.047,0.093,0.064,0.068
970,0.054,0.053,0.169,0.135,0.025,0.131,0.121,0.04,0.047,0.093,0.063,0.068
971,0.054,0.053,0.169,0.135,0.025,0.131,0.121,0.04,0.047,0.093,0.063,0.067
972,0.054,0.053,0.169,0.135,0.026,0.131,0.121,0.04,0.047,0.092,0.063,0.067
973,0.054,0.053,0.169,0.135,0.026,0.131,0.121,0.04,0.047,0.092,0.063,0.067
974,0.054,0.053,0.169,0.135,0.026,0.131,0.121,0.039,0.047,0.092,0.063,0.067
975,0.054,0.053,0.168,0.135,0.026,0.131,0.121,0.039,0.047,0.092,0.063,0.067
976,0.054,0.053,0.169,0.135,0.026,0.131,0.122,0.039,0.047,0.091,0.063,0.067
977,0.053,0.053,0.168,0.135,0.026,0.131,0.122,0.039,0.047,0.091,0.063,0.067
978,0.053,0.053,0.168,0.135,0.026,0.131,0.122,0.039,0.046,0.091,0.063,0.067
979,0.053,0.053,0.168,0.135,0.025,0.13,0.121,0.039,0.046,0.091,0.062,0.066
980,0.053,0.053,0.168,0.135,0.025,0.13,0.121,0.039,0.046,0.091,0.062,0.066
981,0.053,0.052,0.168,0.135,0.026,0.13,0.121,0.039,0.046,0.091,0.062,0.066
982,0.053,0.052,0.168,0.135,0.026,0.13,0.121,0.038,0.046,0.09,0.062,0.066
983,0.053,0.052,0.168,0.135,0.026,0.13,0.122,0.038,0.046,0.09,0.062,0.066
984,0.053,0.052,0.168,0.135,0.025,0.13,0.121,0.038,0.046,0.09,0.062,0.066
985,0.053,0.052,0.168,0.135,0.025,0.13,0.122,0.038,0.046,0.09,0.062,0.066
986,0.053,0.052,0.168,0.135,0.026,0.129,0.122,0.038,0.046,0.09,0.061,0.066
987,0.052,0.052,0.167,0.135,0.026,0.129,0.122,0.038,0.045,0.089,0.061,0.065
988,0.052,0.052,0.167,0.135,0.026,0.129,0.122,0.038,0.045,0.089,0.061,0.065
989,0.052,0.052,0.167,0.135,0.026,0.129,0.122,0.038,0.045,0.089,0.061,0.065
990,0.052,0.052,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.089,0.061,0.065
991,0.052,0.051,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.089,0.061,0.065
992,0.052,0.051,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.088,0.061,0.065
993,0.052,0.051,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.088,0.061,0.065
994,0.052,0.051,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.088,0.061,0.065
995,0.052,0.051,0.167,0.135,0.026,0.129,0.122,0.037,0.045,0.088,0.06,0.064
996,0.052,0.051,0.166,0.135,0.026,0.128,0.122,0.037,0.045,0.087,0.06,0.064
997,0.052,0.051,0.166,0.134,0.026,0.128,0.122,0.037,0.044,0.087,0.06,0.064
998,0.052,0.051,0.166,0.135,0.026,0.128,0.122,0.037,0.044,0.087,0.06,0.064
999,0.051,0.051,0.166,0.134,0.026,0.128,0.122,0.036,0.044,0.087,0.06,0.064
1000,0.051,0.051,0.166,0.134,0.027,0.128,0.122,0.036,0.044,0.087,0.06,0.064
