Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
480,0.165,0.185,0.226,0.21,0.12,0.222,0.145,0.151,0.199,0.276,0.225,0.235
481,0.164,0.184,0.226,0.21,0.119,0.222,0.144,0.151,0.198,0.275,0.224,0.234
482,0.164,0.184,0.225,0.21,0.118,0.221,0.144,0.15,0.197,0.274,0.223,0.233
483,0.163,0.183,0.225,0.21,0.118,0.221,0.143,0.15,0.197,0.274,0.223,0.233
484,0.163,0.182,0.225,0.21,0.117,0.22,0.143,0.149,0.196,0.273,0.222,0.232
485,0.162,0.181,0.224,0.21,0.116,0.22,0.143,0.149,0.195,0.272,0.221,0.231
486,0.162,0.18,0.224,0.209,0.115,0.22,0.142,0.149,0.194,0.272,0.22,0.23
487,0.162,0.18,0.224,0.209,0.114,0.219,0.142,0.148,0.194,0.271,0.22,0.23
488,0.161,0.179,0.224,0.209,0.114,0.219,0.142,0.148,0.193,0.27,0.219,0.229
489,0.161,0.179,0.224,0.209,0.113,0.219,0.142,0.147,0.192,0.27,0.218,0.228
490,0.161,0.178,0.224,0.208,0.112,0.219,0.141,0.147,0.192,0.269,0.218,0.228
491,0.16,0.178,0.224,0.208,0.111,0.219,0.141,0.147,0.191,0.268,0.217,0.227
492,0.16,0.177,0.223,0.207,0.11,0.219,0.141,0.146,0.19,0.268,0.216,0.226
493,0.16,0.177,0.223,0.206,0.109,0.218,0.141,0.146,0.19,0.267,0.216,0.225
494,0.159,0.177,0.223,0.206,0.108,0.218,0.141,0.146,0.189,0.266,0.215,0.225
495,0.159,0.176,0.223,0.205,0.107,0.218,0.141,0.145,0.188,0.266,0.214,0.224
496,0.159,0.176,0.223,0.204,0.106,0.218,0.141,0.145,0.188,0.265,0.214,0.223
497,0.158,0.176,0.223,0.203,0.105,0.218,0.14,0.145,0.187,0.264,0.213,0.223
498,0.158,0.175,0.223,0.202,0.104,0.218,0.14,0.145,0.186,0.264,0.212,0.222
499,0.158,0.175,0.223,0.201,0.103,0.218,0.14,0.145,0.185,0.263,0.212,0.221
500,0.158,0.175,0.223,0.2,0.101,0.218,0.14,0.145,0.185,0.263,0.211,0.22
501,0.157,0.174,0.223,0.199,0.1,0.218,0.14,0.145,0.184,0.262,0.21,0.22
502,0.157,0.174,0.222,0.198,0.098,0.217,0.14,0.145,0.183,0.261,0.21,0.219
503,0.156,0.173,0.222,0.197,0.097,0.217,0.14,0.145,0.182,0.261,0.209,0.219
504,0.156,0.173,0.222,0.196,0.095,0.217,0.139,0.145,0.181,0.26,0.209,0.218
505,0.156,0.172,0.222,0.195,0.094,0.217,0.139,0.144,0.18,0.259,0.208,0.217
506,0.155,0.172,0.222,0.193,0.092,0.216,0.139,0.144,0.179,0.259,0.207,0.217
507,0.155,0.171,0.221,0.192,0.091,0.216,0.139,0.144,0.178,0.258,0.207,0.216
508,0.154,0.17,0.221,0.191,0.089,0.215,0.138,0.144,0.177,0.257,0.206,0.215
509,0.154,0.169,0.221,0.19,0.087,0.215,0.138,0.144,0.177,0.257,0.205,0.214
510,0.153,0.168,0.221,0.188,0.086,0.215,0.138,0.143,0.176,0.256,0.205,0.214
511,0.153,0.167,0.22,0.187,0.084,0.214,0.137,0.143,0.175,0.255,0.204,0.213
512,0.152,0.167,0.22,0.186,0.083,0.214,0.137,0.143,0.174,0.255,0.203,0.212
513,0.152,0.165,0.22,0.184,0.081,0.214,0.137,0.142,0.173,0.254,0.203,0.212
514,0.151,0.164,0.219,0.183,0.079,0.213,0.137,0.142,0.172,0.253,0.202,0.211
515,0.151,0.163,0.219,0.182,0.078,0.213,0.136,0.141,0.171,0.253,0.201,0.21
