X,Y,Z
-2000,669.004795,8.536376058892754e-6
-2000,671.273308,-1.76971E-05
-2000,673.541822,-3.3695E-05
-2000,675.810336,1.51977E-05
-2000,678.078849,-4.03514E-05
-2000,680.347363,4.07488E-05
-2000,682.615876,4.16882E-05
-2000,684.88439,3.51387E-05
-2000,687.152904,-4.43157E-05
-2000,689.421417,-1.13467E-05
-2000,691.689931,-2.30E-06
-2000,693.958444,4.69209E-05
-2000,696.226958,3.653302061970698e-6
-2000,698.495471,3.52478E-05
-2000,700.763985,-1.30867E-05
-2000,703.032499,3.86691E-05
-2000,705.301012,-2.93873E-05
-2000,707.569526,-2.93371E-05
-2000,709.838039,4.14391E-05
-2000,712.106553,9.12298E-05
-2000,714.375067,-3.20533E-05
-2000,716.64358,-7.93948E-05
-2000,718.912094,-2.29218E-05
-2000,721.180607,6.98946E-05
-2000,723.449121,0.000105266
-2000,725.717635,1.56512E-05
-2000,727.986148,1.34919E-05
-2000,730.254662,-6.72E-06
-2000,732.523175,-0.000104233
-2000,734.791689,-7.09611E-05
-2000,737.060202,6.61808E-05
-2000,739.328716,-2.33767E-05
-2000,741.59723,5.00731E-05
-2000,743.865743,-2.66603E-05
-2000,746.134257,-2.69841E-05
-2000,748.40277,-7.63E-06
-2000,750.671284,-6.52378E-05
-2000,752.939798,-8.82E-06
-2000,755.208311,-1.72843E-05
-2000,757.476825,-6.82112E-05
-2000,759.745338,-6.44676E-05
-2000,762.013852,-6.00779E-05
-2000,764.282365,-3.39967E-05
-2000,766.550879,-3.91969E-05
-2000,768.819393,-0.000200838
-2000,771.087906,-0.000103569
-2000,773.35642,5.93661E-05
-2000,775.624933,-9.07903E-05
-2000,777.893447,-0.000120477
-2000,780.161961,-2.86E-06
-2000,782.430474,-4.49883E-05
-2000,784.698988,-9.34823E-05
-2000,786.967501,-5.22863E-05
-2000,789.236015,-8.17E-06
-2000,791.504529,-7.06158E-05
-2000,793.773042,5.06201E-05
-2000,796.041556,-9.56134E-05
-2000,798.310069,1.19605E-05
-2000,800.578583,4.56298E-05
-2000,802.847096,-0.000129674
-2000,805.11561,6.327347178804676e-6
-2000,807.384124,5.77714E-05
-2000,809.652637,-2.21284E-05
-2000,811.921151,-3.52464E-05
-2000,814.189664,3.76231E-05
-2000,816.458178,4.268446506752017e-6
-2000,818.726692,4.21842E-05
-2000,820.995205,1.73248E-05
-2000,823.263719,-1.49561E-05
-2000,825.532232,3.54253E-05
-2000,827.800746,-3.67461E-05
-2000,830.069259,-1.51941E-05
-2000,832.337773,-0.000124409
-2000,834.606287,-1.14928E-05
-2000,836.8748,7.4795E-05
-2000,839.143314,-0.000174254
-2000,841.411827,-9.88E-06
-2000,843.680341,-2.7854E-05
-2000,845.948855,-1.79538E-05
-2000,848.217368,-0.000120138
-2000,850.485882,-5.36459E-05
-2000,852.754395,-0.000178008
-2000,855.022909,-2.88866E-05
-2000,857.291422,-9.72093E-05
-2000,859.559936,-0.00010008
-2000,861.82845,-0.000126112
-2000,864.096963,-6.03172E-05
-2000,866.365477,-0.000177891
-2000,868.63399,-4.43762E-05
-2000,870.902504,-0.000150277
-2000,873.171018,-7.26587E-05
-2000,875.439531,-9.63828E-05
-2000,877.708045,-2.32624E-05
